From,To,Label,Desc
natural_penicillin,borrelia_recurrentis,treatment,
natural_penicillin,streptococcus_pyogenes,treatment,treats strep pharyngitis and rheumatic fever.
natural_penicillin,peptidoglycan,affects,prevents cell wall synthesis by binding PBPs
natural_penicillin,streptococcus_agalactiae,treatment,prophylaxis
natural_penicillin,streptococcus_viridans,treatment,
natural_penicillin,actinomyces_israelii,treatment,
natural_penicillin,clostridium_perfringens,treatment,
natural_penicillin,pasteurella_multocida,treatment,
natural_penicillin,treponema_pallidum,treatment,prophylaxis in pregnant mothers
natural_penicillin,neisseria_meningitidis,treatment,
natural_penicillin,kidney,side effect,nephrotoxicity
natural_penicillin,anemia,side effect,
beta_lactamase,natural_penicillin,resistant,
natural_penicillin,hypersensitivity,side effect,IgG antibodies against penicillin bind to RBCs
anti-staph_penicillin,staphylococcus_aureus,treatment,altered PBPs (MRSA) confer resistance
anti-staph_penicillin,endocarditis,treatment,
anti-staph_penicillin,osteomyelitis,treatment,
anti-staph_penicillin,natural_penicillin,related,"beta lactam with added beta lactamase inhibition, similar side effects"
aminopenicillin,streptococcus_pyogenes,treatment,pharyngitis
aminopenicillin,streptococcus_pneumoniae,treatment,
aminopenicillin,otitis_media,treatment,
aminopenicillin,sinusitis,treatment,
aminopenicillin,helicobacter_pylori,treatment,
aminopenicillin,moraxella_catarrhalis,treatment,
aminopenicillin,borrelia_burgdorferi,treatment,
aminopenicillin,haemophilus_influenzae,treatment,
aminopenicillin,enterococcus_faecalis,treatment,
aminopenicillin,listeria_monocytogenes,treatment,
aminopenicillin,spleen,indicated,prophylaxis in asplenic patients/immunocompromised
anti-pseudomonal_penicillin,cutaneous,side effect,Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN)
anti-pseudomonal_penicillin,pseudomonas_aeruginosa,treatment,
anti-pseudomonal_penicillin,natural_penicillin,related,"beta lactam with added beta lactamase inhibition, similar side effects"
anti-pseudomonal_penicillin,nosocomial,treatment,"Serious hospital acquired infections (pneumonia, intra- abdominal infections, sepsis)"
first_gen_cephalosporin,natural_penicillin,related,"beta lactam, similar side effects"
first_gen_cephalosporin,staphylococcus_aureus,treatment,
first_gen_cephalosporin,staphylococcus_epidermidis,treatment,
first_gen_cephalosporin,staphylococcus_saprophyticus,treatment,
first_gen_cephalosporin,streptococcus_pyogenes,treatment,pharyngitis
first_gen_cephalosporin,uti,treatment,"klebsiella, proteus, etc."
first_gen_cephalosporin,prophylaxis,prevents,prophylaxis during surgery
second_gen_cephalosporin,first_gen_cephalosporin,related,
second_gen_cephalosporin,prophylaxis,prevents,surgery
second_gen_cephalosporin,gram_negative_cell_wall,treatment,increased spectrum for gram negatives
third_gen_cephalosporin,streptococcus_gallolyticus,treatment,
third_gen_cephalosporin,staphylococcus_aureus,treatment,Ceftaroline covers MRSA
third_gen_cephalosporin,pseudomonas_aeruginosa,treatment,Ceftazidime
third_gen_cephalosporin,borrelia_burgdorferi,treatment,ceftriaxone
third_gen_cephalosporin,meningitis,treatment,crosses blood brain barrier
third_gen_cephalosporin,burkholderia_cepacian_complex,treatment,
third_gen_cephalosporin,haemophilus_influenzae,treatment,crosses blood brain barrier
third_gen_cephalosporin,neisseria_meningitidis,treatment,crosses blood brain barrier
third_gen_cephalosporin,neisseria_gonorrhoeae,treatment,ceftriaxone DOC
third_gen_cephalosporin,typhoidal_salmonella,treatment,
third_gen_cephalosporin,listeria_monocytogenes,treatment,ceftriaxone
third_gen_cephalosporin,streptococcus_pneumoniae,treatment,ceftriaxone DOC
third_gen_cephalosporin,uti,treatment,
third_gen_cephalosporin,second_gen_cephalosporin,related,
fourth_gen_cephalosporin,pseudomonas_aeruginosa,treatment,
fourth_gen_cephalosporin,nosocomial,treatment,serious hospital acquired infections
fourth_gen_cephalosporin,third_gen_cephalosporin,related,
fifth_gen_cephalosporin,pseudomonas_aeruginosa,treatment,ceftolozane
fifth_gen_cephalosporin,fourth_gen_cephalosporin,related,
fifth_gen_cephalosporin,staphylococcus_aureus,treatment,MRSA
imi_mero_dori,klebsiella_pneumoniae,treatment,
imi_mero_dori,nosocomial,treatment,serious hospital acquired infections
imi_mero_dori,gut,side effect,nausea vomiting diarrhea
imi_mero_dori,cns,side effect,seizures (imi lowers)
imi_mero_dori,rash,side effect,
imi_mero_dori,beta_lactamase,treatment,covers Extended Spectrum beta lactamase organisms
ertapenem,beta_lactamase,treatment,covers Extended Spectrum beta lactamase organisms
ertapenem,prophylaxis,prevents,for GI/GU surgery
ertapenem,imi_mero_dori,related,
meropenem_vaborbactam,beta_lactamase,treatment,"covers ESBLS, CREs, and ampCs, basically unstoppable"
meropenem_vaborbactam,fifth_gen_cephalosporin,related,similar coverage but slightly more 
meropenem_vaborbactam,imi_mero_dori,related,
aminoglycoside,ribosome,inhibits,"binds to 30S, bacteriocidal"
aminoglycoside,oxygen_metabolism,treatment,treats gram negative aerobic bacteria
aminoglycoside,gram_negative_cell_wall,treatment,"treats gram negative aerobic bacteria, used synergistically"
aminoglycoside,cns,side effect,"neurotoxicity, contraindicated in myasthenia gravis patients"
aminoglycoside,kidney,side effect,nephrotoxicity
aminoglycoside,ototoxicity,side effect,
aminoglycoside,vancomycin,combination,
aminoglycoside,gut,treatment,"prophylaxis, active against parasites. neomycin and paramycin"
aminoglycoside,francisella_tularensis,treatment,streptomycin
aminoglycoside,yersinia_pestis,treatment,streptomycin
aminoglycoside,klebsiella_pneumoniae,treatment,gentamycin
aminoglycoside,pseudomonas_aeruginosa,treatment,"gentamycin, tobramycin, amikacin"
aminoglycoside,teratogen,side effect,
fluoroquinolone,pneumonia,treatment,good alternative
fluoroquinolone,pseudomonas_aeruginosa,treatment,ciprofloxacin
fluoroquinolone,uti,treatment,
fluoroquinolone,osteomyelitis,treatment,
fluoroquinolone,bacillus_anthracis,treatment,
fluoroquinolone,typhoidal_salmonella,treatment,
fluoroquinolone,mycoplasma_pneumoniae,treatment,
fluoroquinolone,legionella_pneumophila,treatment,
fluoroquinolone,qtc,side effect,
fluoroquinolone,teratogen,side effect,avoid during pregnancy
fluoroquinolone,tendonitis,side effect,
fluoroquinolone,vomiting,side effect,
fluoroquinolone,diarrhea,side effect,
fluoroquinolone,cns,side effect,"neurotoxicity, seizures"
fluoroquinolone,gut,treatment,"gram negative gi organisms like campylobacter, shigella, and salmonella"
tetra_mino_doxy,gram_positive_cell_wall,treatment,gram positives including MRSA
tetra_mino_doxy,ribosome,inhibits,"30S subunit, bacteriostatic"
tetra_mino_doxy,bacillus_anthracis,treatment,doxycycline
tetra_mino_doxy,rickettsia_rickettsii,treatment,
tetra_mino_doxy,bartonella_henselae,treatment,doxycycline
tetra_mino_doxy,anaplasma_phagocytophilum,treatment,
tetra_mino_doxy,ehrlichia_chaffeensis,treatment,
tetra_mino_doxy,francisella_tularensis,treatment,
tetra_mino_doxy,borrelia_recurrentis,treatment,doxycycline
tetra_mino_doxy,borrelia_burgdorferi,treatment,doxycycline
tetra_mino_doxy,brucella_species,treatment,doxycycline
tetra_mino_doxy,yersinia_enterocolitica,treatment,
tetra_mino_doxy,chlamydia_trachomatis,treatment,chlamydial cervicitis and urethritis
tige_era_oma,enterococcus_faecium,treatment,
tige_era_oma,enterococcus_faecalis,treatment,
tige_era_oma,tetra_mino_doxy,related,
tige_era_oma,resistance,treatment,Culture directed for MDR organisms
tetra_mino_doxy,teratogen,side effect,
tetra_mino_doxy,diarrhea,side effect,
tetra_mino_doxy,photosensitivity,side effect,tissue and skin hyperpigmentation
tetra_mino_doxy,kidney,side effect,"fanconi syndrome, renal tubular acidosis"
macrolide,ribosome,inhibits,"50S subunit, bacteriostatic"
macrolide,inflammation,inhibits,anti-inflammatory
macrolide,diarrhea,side effect,prokinetic
macrolide,pneumonia,treatment,community acquired and atypical infections
macrolide,cytochrome_p450,side effect,inhibits CYP 3A4
macrolide,qtc,side effect,
macrolide,rash,side effect,
macrolide,legionella_pneumophila,treatment,
macrolide,mycoplasma_pneumoniae,treatment,
macrolide,chlamydia_trachomatis,treatment,azithromycin
macrolide,bordetella_pertussis,treatment,
macrolide,bartonella_henselae,treatment,azithromycin
macrolide,typhoidal_salmonella,treatment,erythromycin
macrolide,corynebacterium_diphtheriae,treatment,erythromycin
macrolide,mycobacterium_avium_intracellulare,treatment,azithromycin prophylaxis in CD <50
macrolide,clostridioides_difficile,treatment,fidaxomicin
macrolide,helicobacter_pylori,treatment,clarithromycin
macrolide,liver,side effect,hepatitis
macrolide,eye_infection,treatment,erythromycin prevents opthalmia neonatorum
vancomycin,streptococcus_gallolyticus,treatment,
vancomycin,staphylococcus_epidermidis,treatment,
vancomycin,staphylococcus_aureus,treatment,binds dala-dala directly
vancomycin,clostridioides_difficile,treatment,oral
vancomycin,meningitis,treatment,
vancomycin,osteomyelitis,treatment,
vancomycin,staphylococcus_epidermidis,treatment,
vancomycin,enterococcus_faecalis,treatment,
vancomycin,gram_positive_cell_wall,treatment,only gram +
vancomycin,endocarditis,treatment,
vancomycin,kidney,side effect,
vancomycin,ototoxicity,side effect,
vancomycin,hypersensitivity,side effect,stimulates mast cells
daptomycin,vancomycin,related,vancomycin resistant enterococci
daptomycin,cell_membrane,affects,depolarization
daptomycin,myopathy,side effect,"skeletal muscle (rhabdmyolysis), check serum CPK levels"
daptomycin,pneumonia,side effect,"eosinophilic, contraindicated due to surfactant"
daptomycin,staphylococcus_aureus,treatment,MRSA
daptomycin,cutaneous,treatment,serious infections
daptomycin,bacteremia,treatment,serious infections
daptomycin,hypersensitivity,side effect,
daptomycin,neuropathy,side effect,
linezolid,enterococcus_faecalis,treatment,
linezolid,ribosome,inhibits,23s rna of 50S subunit
linezolid,gram_positive_cell_wall,treatment,gram positive organisms
linezolid,vancomycin,related,vancomycin resistant enterococci
linezolid,nosocomial,treatment,serious hospital infections
linezolid,thrombocytopenia,side effect,
linezolid,neuropathy,side effect,optic and peripheral
linezolid,cns,side effect,serotonin syndrome (too much)
metronidazole,gardnerella_vaginalis,treatment,
metronidazole,oxygen_metabolism,treatment,anaerobic infections
metronidazole,helicobacter_pylori,treatment,alternative
metronidazole,vomiting,side effect,"disulfiram like reaction, especially with alcohol"
metronidazole,bacteroides_fragilis,treatment,
metronidazole,clostridium_tetani,treatment,
metronidazole,clostridioides_difficile,treatment,DOC
metronidazole,neuropathy,side effect,peripheral
smx_tmp,pneumonia,treatment,DOC for pneumocystis jirovecii
smx_tmp,staphylococcus_aureus,treatment,MRSA soft tissue infections
smx_tmp,hypersensitivity,side effect,sulfonamides
smx_tmp,myelosuppression,side effect,
smx_tmp,rash,side effect,sjs and tens
smx_tmp,teratogen,side effect,"hyperbilirubinemia, avoid in children < 1montho"
smx_tmp,immunocompromised,prevents,"cd < 200, prophylaxis for pjp, cd <100 prophylaxis for toxoplasmosis"
smx_tmp,pancytopenia,side effect,
smx_tmp,anemia,side effect,G6PD deficiency
smx_tmp,nocardia_asteroides,treatment,
smx_tmp,moraxella_catarrhalis,treatment,
smx_tmp,proteus_mirabilis,treatment,
smx_tmp,hypersensitivity,side effect,lupus
smx_tmp,cytochrome_p450,side effect,inhibits
smx_tmp,gram_negative_cell_wall,treatment,effects against gram negative gi (salmonella and shigella) and uti bacteria
clindamycin,ribosome,inhibits,"50S, bacteriostatic"
clindamycin,oxygen_metabolism,treatment,anaerobic activity
clindamycin,gram_positive_cell_wall,treatment,gram positives including MRSA
clindamycin,staphylococcus_aureus,treatment,most of MRSA
clindamycin,natural_penicillin,related,alternative
clindamycin,streptococcus_pyogenes,treatment,soft tissue (cellulitis)
clindamycin,abscess,treatment,lung 
clindamycin,bacteroides_fragilis,treatment,aspiration pneumonia
clindamycin,clostridium_perfringens,treatment,
clindamycin,pid,treatment,genital tract infections with gentamicin
clindamycin,gardnerella_vaginalis,treatment,
clindamycin,clostridioides_difficile,side effect,associated with psuedomembrane colitis
clindamycin,rash,side effect,maculopapular
polymyxin,gram_negative_cell_wall,treatment,
polymyxin,pneumonia,treatment,"MDR, last line"
polymyxin,uti,treatment,"MDR, last line"
polymyxin,cell_membrane,affects,detergent
polymyxin,cns,side effect,neurotoxicity
polymyxin,kidney,side effect,nephrotoxicity
chloramphenicol,ribosome,inhibits,"binds 50S, bacteriostatic"
chloramphenicol,meningitis,treatment,high cns concentrations
chloramphenicol,neonate,side effect,gray baby syndrome
chloramphenicol,anemia,side effect,aplastic
chloramphenicol,myelosuppression,side effect,
chloramphenicol,rickettsia_rickettsii,treatment,
chloramphenicol,haemophilus_influenzae,treatment,
chloramphenicol,neisseria_meningitidis,treatment,
chloramphenicol,streptococcus_pneumoniae,treatment,
lipoglycopeptide,gram_positive_cell_wall,treatment,"gram positives, inhibits cell wall synthesis"
lipoglycopeptide,sti,treatment,
lipoglycopeptide,osteomyelitis,treatment,
lipoglycopeptide,rash,side effect,
tuberculosis_drug,mycobacterium_tuberculosis,treatment,RIPE therapy
tuberculosis_drug,mycolic_acid,affects,"isoniazid, can be used for latent TB. activated by KatG (catalase peroxidase), resistance is developed by downregulating this enzyme, degraded by liver N-acetyltransferase"
tuberculosis_drug,neuropathy,side effect,"isoniazid can cause peripheral neuropathy, coadministration with pyridoxine prevents"
tuberculosis_drug,cns,side effect,seizures can be caused by isoniazid
tuberculosis_drug,liver,side effect,hepatotoxicity
tuberculosis_drug,hypersensitivity,side effect,lupus
tuberculosis_drug,cytochrome_p450,side effect,"isoniazid inhibits, rifampin activates"
tuberculosis_drug,rna_pol,inhibits,rifampin binds bacterial DNA dependent RNA polymerase
tuberculosis_drug,brucella_species,treatment,rifampin
tuberculosis_drug,neisseria_meningitidis,prevents,rifampin prophylaxis
tuberculosis_drug,haemophilus_influenzae,prevents,rifampin prophylaxis
tuberculosis_drug,gram_positive_cell_wall,affects,"ethambutol inhibits carbohydrate formation (arabinosyl transferase), bacteriostatic"
tuberculosis_drug,kidney,"gout, uric acid",pyrazinamide
leprosy_drug,macrolide,related,combined with ethambutol to treat MAC infections
leprosy_drug,mycobacterium_avium_intracellulare,treatment,"prophylaxis with macrolide when CD < 50, rifabutin"
leprosy_drug,cytochrome_p450,side effect,rifabutin activates 
leprosy_drug,mycobacterium_leprae,treatment,"dapsone, clofazimine for lepromatous leprosy + rifampin for both"
leprosy_drug,granulocyte,side effect,agranulocytosis
leprosy_drug,anemia,side effect,hemolytic with G6PD deficiency
